codeInstallation,codeInseeCommune,libelle,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
I315170002,31517,Complexe sportif,0,0,0,0,0,0,1,08/11/2019,08/11/2019
I315170005,31517,Etablissement scolaire,0,1,0,0,0,0,0,24/10/2019,24/10/2019
I315230001,31523,Piscine,0,0,0,0,0,0,1,04/12/2019,04/12/2019
I315230004,31523,Etablissement scolaire,0,0,0,0,0,0,1,05/12/2019,05/12/2019
I315260008,31526,Complexe sportif,0,1,0,0,0,0,0,28/07/2015,28/07/2015
I315330002,31533,Complexe sportif,0,0,0,0,0,0,1,21/11/2019,21/11/2019
I315330003,31533,Etablissement scolaire,0,1,0,0,0,0,0,21/11/2019,21/11/2019
I315350001,31535,Complexe sportif,0,0,0,0,0,0,1,13/11/2018,11/11/2013
I315410001,31541,Complexe sportif,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I315410004,31541,Etablissement scolaire,0,1,0,0,0,0,0,28/07/2015,28/07/2015
I315470002,31547,Complexe sportif,0,1,0,0,0,0,0,23/09/2015,23/09/2015
I315530001,31553,Complexe sportif,0,0,0,0,0,0,1,29/08/2019,13/11/2014
I315550006,31555,Etablissement scolaire,1,1,0,0,0,0,0,18/01/2017,18/01/2017
I315550013,31555,Etablissement scolaire,0,1,0,0,0,0,0,27/01/2013,27/01/2013
I315550021,31555,Etablissement scolaire,1,1,0,0,0,0,0,,
I315550022,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550023,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550024,31555,Etablissement scolaire,1,1,0,0,0,0,0,,
I315550025,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550026,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550027,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550028,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550030,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550034,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550035,31555,Etablissement scolaire,1,1,0,0,0,0,0,,
I315550036,31555,Etablissement scolaire,0,1,0,1,0,0,0,,
I315550037,31555,Etablissement scolaire,1,1,0,0,0,0,0,,
I315550038,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550039,31555,Etablissement scolaire,1,1,0,0,0,0,0,16/07/2017,16/07/2017
I315550040,31555,Etablissement scolaire,0,1,1,0,0,0,0,,
I315550041,31555,Etablissement scolaire,1,1,0,0,0,0,0,17/05/2019,07/12/2016
I315550042,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550043,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550045,31555,Etablissement scolaire,0,1,1,0,0,0,0,,
I315550046,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550047,31555,Etablissement scolaire,1,1,0,0,0,0,0,14/05/2019,
I315550048,31555,Etablissement scolaire,1,1,0,0,0,0,0,,
I315550049,31555,Etablissement scolaire,0,1,1,0,0,0,0,,
I315550050,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550051,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550052,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550053,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550054,31555,Etablissement scolaire,1,1,0,0,0,0,0,,
I315550055,31555,Etablissement scolaire,0,1,0,0,0,0,0,14/04/2013,14/04/2013
I315550056,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550057,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550058,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550059,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550060,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550061,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550062,31555,Etablissement scolaire,0,1,0,1,0,0,0,,
I315550064,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550065,31555,Etablissement scolaire,1,1,0,0,0,0,0,,
I315550066,31555,Etablissement scolaire,0,1,0,0,0,0,0,23/01/2013,23/01/2013
I315550067,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550068,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
I315550069,31555,Etablissement scolaire,0,1,0,0,0,0,0,,
